,0
0,휘발유 가격 32개월만에 최저치..1100원대 주유소 등장
1,대기업 퇴직한 선배에게 주유소 취업 권한 까닭
2,1100원대 주유소도 등장..휘발유 값 32개월 만에 '최저'
3,"리터당 1100원대 주유소까지..휘발유 가격, 32개월만에 최저치"
4,"양수영 석유공사 사장 ""한국을 동북아 석유물류 중심지로"""
5,휘발유값 1348원 34개월만에 최저치..하락폭은 11주만에 최소
6,"휘발유 가격, 리터당 1348원..34개월 만에 최저치"
7,2월 첫째주 휘발유 평균가 0.7원 내린 1344.0원
8,휘발유 가격 15주째 하락..L당 1342.7원
9,휘발유·경유 가격 15주째 하락..당분간 비슷한 수준
10,휘발유 가격 32개월만에 최저치..1100원대 주유소 등장
11,대기업 퇴직한 선배에게 주유소 취업 권한 까닭
12,1100원대 주유소도 등장..휘발유 값 32개월 만에 '최저'
13,"리터당 1100원대 주유소까지..휘발유 가격, 32개월만에 최저치"
14,"양수영 석유공사 사장 ""한국을 동북아 석유물류 중심지로"""
15,휘발유값 1348원 34개월만에 최저치..하락폭은 11주만에 최소
16,"휘발유 가격, 리터당 1348원..34개월 만에 최저치"
17,2월 첫째주 휘발유 평균가 0.7원 내린 1344.0원
18,휘발유 가격 15주째 하락..L당 1342.7원
19,휘발유·경유 가격 15주째 하락..당분간 비슷한 수준
20,휘발유 가격 32개월만에 최저치..1100원대 주유소 등장
21,대기업 퇴직한 선배에게 주유소 취업 권한 까닭
22,1100원대 주유소도 등장..휘발유 값 32개월 만에 '최저'
23,"리터당 1100원대 주유소까지..휘발유 가격, 32개월만에 최저치"
24,"양수영 석유공사 사장 ""한국을 동북아 석유물류 중심지로"""
25,휘발유값 1348원 34개월만에 최저치..하락폭은 11주만에 최소
26,"휘발유 가격, 리터당 1348원..34개월 만에 최저치"
27,2월 첫째주 휘발유 평균가 0.7원 내린 1344.0원
28,휘발유 가격 15주째 하락..L당 1342.7원
29,휘발유·경유 가격 15주째 하락..당분간 비슷한 수준
30,휘발유 가격 32개월만에 최저치..1100원대 주유소 등장
31,대기업 퇴직한 선배에게 주유소 취업 권한 까닭
32,1100원대 주유소도 등장..휘발유 값 32개월 만에 '최저'
33,"리터당 1100원대 주유소까지..휘발유 가격, 32개월만에 최저치"
34,"양수영 석유공사 사장 ""한국을 동북아 석유물류 중심지로"""
35,휘발유값 1348원 34개월만에 최저치..하락폭은 11주만에 최소
36,"휘발유 가격, 리터당 1348원..34개월 만에 최저치"
37,2월 첫째주 휘발유 평균가 0.7원 내린 1344.0원
38,휘발유 가격 15주째 하락..L당 1342.7원
39,휘발유·경유 가격 15주째 하락..당분간 비슷한 수준
40,휘발유 가격 32개월만에 최저치..1100원대 주유소 등장
41,대기업 퇴직한 선배에게 주유소 취업 권한 까닭
42,1100원대 주유소도 등장..휘발유 값 32개월 만에 '최저'
43,"리터당 1100원대 주유소까지..휘발유 가격, 32개월만에 최저치"
44,"양수영 석유공사 사장 ""한국을 동북아 석유물류 중심지로"""
45,휘발유값 1348원 34개월만에 최저치..하락폭은 11주만에 최소
