,description,link,pDate,title
0,전국 휘발유 평균 가격이 리터당 1600원대로 떨어진 가운데 4일 오전 서울시 양천구 알뜰주유소 가격표에 휘발유 1 565원·경유 1782원으로 표시돼 있다. 한국석유공사 유가 정보 사이트 오피넷에 따르면 이날...,https://n.news.naver.com/mnews/article/629/0000176045?sid=102,2022-10-04 10:49:00,기름값 하락세 1500원대 주유소 등장 포착
1,휘발유 가격이 가장 싼 주유소는 경북 칠곡군에 위치한 알뜰주유소 상표의 대광셀프주유소가 리터당 1517원에 판매해 가장 저렴했다. 경유 가격이 가장 싼 주유소는 경남 김해시에 위치한 에너지 상표의...,https://www.jejutwn.com/news/article.html?no=147639,2022-10-04 09:26:00,휘발유·경유 가격비교 10월 4일 기름값 가장 싼 주유소 는
2,정부의 지원을 받아 한국석유공사가 석유가격에 대한 소비자 구매부담 경감을 위해 지난 2011년 도입한 알뜰주유소 에서 품질미달·가짜석유 판매 등 석유사업법 위반행위가 여전히 계속되고 있는 것으로 나타났다....,https://www.wikitree.co.kr/articles/794557,2022-10-03 21:16:00,국감 한국석유공사 자영 알뜰주유소 석유사업법 위반행위 143건 적발
3,전국에서 휘발유 가격이 제일 낮은 주유소는 경북 칠곡군의 한 알뜰주유소 이며 리터당 1517원이다. 또 경북 칠곡군의 에너지 주유소 에쓰오일 주유소 가격도 리터당 1518원으로 전국에서 두번째로 낮았다....,http://www.queen.co.kr/news/articleView.html?idxno=381312,2022-10-03 15:26:00,전국 휘발유 가격 1689원 ... 하락세 당분간 지속
4,한국석유공사 유가정보사이트 오피넷에 따르면 전국에서 휘발유가 가장 싼 주유소 는 대구 서구 서대구로 소재 알뜰 주유소 로 휘발유 가격이 리터당 1 517원이다. 경유가 가장 싼 주유소 는 경남...,https://www.gokorea.kr/news/articleView.html?idxno=733910,2022-10-03 15:00:00,주유소 가격비교 10월 3일 기름값 싼곳 어디 최저가 휘발유 1517원·경유 ...
5,국내 기름값 내림세가 이어지는 가운데 3일 오후 경북 칠곡군 5번 국도 옆 알뜰주유소 가격표에 휘발유 1517원·경유 1744원으로 표시돼 있다. 2022.10.3 뉴스1,https://n.news.naver.com/mnews/article/421/0006370120?sid=102,2022-10-03 14:49:00,계속 내려가는 기름값
6,국내 기름값 내림세가 이어지는 가운데 3일 오후 경북 칠곡군 5번 국도 옆 알뜰주유소 가격표에 휘발유 1517원·경유 1744원으로 표시돼 있다. 2022.10.3 뉴스1,https://n.news.naver.com/mnews/article/421/0006370121?sid=102,2022-10-03 14:49:00,휘발유 1517원 내림세 이어져
7,국내 기름값 내림세가 이어지는 가운데 3일 오후 경북 칠곡군 5번 국도 옆 알뜰주유소 가격표에 휘발유 1517원·경유 1744원으로 표시돼 있다. 2022.10.3 뉴스1,https://n.news.naver.com/mnews/article/421/0006370118?sid=102,2022-10-03 14:49:00,휘발유 1517원 내림세 이어져
8,국내 기름값 내림세가 이어지는 가운데 3일 오후 경북 칠곡군 5번 국도 옆 알뜰주유소 가격표에 휘발유 1517원·경유 1744원으로 표시돼 있다. 2022.10.3 뉴스1,https://n.news.naver.com/mnews/article/421/0006370123?sid=102,2022-10-03 14:49:00,계속 내려가는 기름값
9,국내 기름값 내림세가 이어지는 가운데 3일 오후 경북 칠곡군 5번 국도 옆 알뜰주유소 가격표에 휘발유 1517원·경유 1744원으로 표시돼 있다. 2022.10.3 뉴스1,https://n.news.naver.com/mnews/article/421/0006370117?sid=102,2022-10-03 14:49:00,계속 내려가는 기름값
